"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 06월 28일","71.54","71.54","71.54","71.54","-","-0.16%"
"2021년 06월 25일","71.65","71.65","71.65","71.65","-","0.08%"
"2021년 06월 24일","71.60","71.60","71.60","71.60","-","0.11%"
"2021년 06월 23일","71.52","71.52","71.52","71.52","-","0.15%"
"2021년 06월 22일","71.41","71.41","71.41","71.41","-","-0.09%"
"2021년 06월 21일","71.48","71.48","71.48","71.48","-","0.57%"
"2021년 06월 18일","71.07","71.07","71.07","71.07","-","0.19%"
"2021년 06월 17일","70.94","70.94","70.94","70.94","-","-0.87%"
"2021년 06월 16일","71.56","71.56","71.56","71.56","-","0.24%"
"2021년 06월 15일","71.39","71.39","71.39","71.39","-","0.86%"
"2021년 06월 14일","70.78","70.78","70.78","70.78","-","0.24%"
"2021년 06월 11일","70.61","70.61","70.61","70.61","-","0.13%"
"2021년 06월 10일","70.52","70.52","70.52","70.52","-","0.25%"
"2021년 06월 09일","70.34","70.34","70.34","70.34","-","-0.03%"
"2021년 06월 08일","70.36","70.36","70.36","70.36","-","0.75%"
"2021년 06월 07일","69.84","69.84","69.84","69.84","-","-0.27%"
"2021년 06월 04일","70.03","70.03","70.03","70.03","-","0.81%"
"2021년 06월 03일","69.47","69.47","69.47","69.47","-","-0.04%"
"2021년 06월 02일","69.50","69.50","69.50","69.50","-","1.47%"
"2021년 06월 01일","68.49","68.49","68.49","68.49","-","3.34%"
"2021년 05월 28일","66.28","66.28","66.28","66.28","-","-0.06%"
"2021년 05월 27일","66.32","66.32","66.32","66.32","-","-0.03%"
"2021년 05월 26일","66.33","66.33","66.33","66.33","-","0.05%"
"2021년 05월 25일","66.30","66.30","66.30","66.30","-","0.06%"
"2021년 05월 24일","66.26","66.26","66.26","66.26","-","0.82%"
"2021년 05월 21일","65.73","65.73","65.73","65.73","-","0.51%"
"2021년 05월 20일","65.39","65.39","65.39","65.39","-","-0.79%"
"2021년 05월 19일","65.92","65.92","65.92","65.92","-","-1.09%"
"2021년 05월 18일","66.64","66.64","66.64","66.64","-","-0.27%"
"2021년 05월 17일","66.82","66.82","66.82","66.82","-","0.74%"
"2021년 05월 14일","66.33","66.33","66.33","66.33","-","1.39%"
"2021년 05월 13일","65.42","65.42","65.42","65.42","-","-2.02%"
"2021년 05월 12일","66.77","66.77","66.77","66.77","-","0.68%"
"2021년 05월 11일","66.32","66.32","66.32","66.32","-","0.18%"
"2021년 05월 10일","66.20","66.20","66.20","66.20","-","0.09%"
"2021년 05월 07일","66.15","66.15","66.15","66.15","-","0.21%"
"2021년 05월 06일","66.01","66.01","66.01","66.01","-","-0.97%"
"2021년 05월 05일","66.65","66.65","66.65","66.65","-","0.47%"
"2021년 05월 04일","66.35","66.35","66.35","66.35","-","2.03%"
"2021년 05월 03일","65.03","65.03","65.03","65.03","-","3.39%"
"2021년 04월 30일","62.89","62.89","62.89","62.89","-","0.00%"
"2021년 04월 29일","62.90","62.90","62.90","62.90","-","0.13%"
"2021년 04월 28일","62.81","62.81","62.81","62.81","-","0.11%"
"2021년 04월 27일","62.75","62.75","62.75","62.75","-","0.21%"
"2021년 04월 26일","62.62","62.62","62.62","62.62","-","-0.30%"
"2021년 04월 23일","62.80","62.80","62.80","62.80","-","0.19%"
"2021년 04월 22일","62.68","62.68","62.68","62.68","-","-0.05%"
"2021년 04월 21일","62.71","62.71","62.71","62.71","-","-0.81%"
"2021년 04월 20일","63.23","63.23","63.23","63.23","-","-0.39%"
"2021년 04월 19일","63.47","63.47","63.47","63.47","-","0.09%"
"2021년 04월 16일","63.42","63.42","63.42","63.42","-","-0.10%"
"2021년 04월 15일","63.48","63.48","63.48","63.48","-","0.34%"
"2021년 04월 14일","63.26","63.26","63.26","63.26","-","2.82%"
"2021년 04월 13일","61.53","61.53","61.53","61.53","-","0.37%"
"2021년 04월 12일","61.30","61.30","61.30","61.30","-","0.19%"
"2021년 04월 09일","61.19","61.19","61.19","61.19","-","-0.45%"
"2021년 04월 08일","61.47","61.47","61.47","61.47","-","0.02%"
"2021년 04월 07일","61.46","61.46","61.46","61.46","-","0.82%"
"2021년 04월 06일","60.96","60.96","60.96","60.96","-","0.41%"
"2021년 04월 05일","60.71","60.71","60.71","60.71","-","-4.05%"
"2021년 04월 01일","63.27","63.27","63.27","63.27","-","-1.78%"
"2021년 03월 31일","64.41","64.41","64.41","64.41","-","0.01%"
"2021년 03월 30일","64.41","64.41","64.41","64.41","-","-0.02%"
"2021년 03월 29일","64.42","64.42","64.42","64.42","-","-0.02%"
"2021년 03월 26일","64.43","64.43","64.43","64.43","-","0.61%"
"2021년 03월 25일","64.05","64.05","64.05","64.05","-","-0.71%"
"2021년 03월 24일","64.50","64.50","64.50","64.50","-","1.23%"
"2021년 03월 23일","63.72","63.72","63.72","63.72","-","-1.52%"
"2021년 03월 22일","64.71","64.71","64.71","64.71","-","0.21%"
"2021년 03월 19일","64.57","64.57","64.57","64.57","-","1.05%"
"2021년 03월 18일","63.90","63.90","63.90","63.90","-","-2.84%"
"2021년 03월 17일","65.77","65.77","65.77","65.77","-","-0.43%"
"2021년 03월 16일","66.05","66.05","66.05","66.05","-","-0.49%"
"2021년 03월 15일","66.38","66.38","66.38","66.38","-","-0.19%"
"2021년 03월 12일","66.50","66.50","66.50","66.50","-","-0.22%"
"2021년 03월 11일","66.65","66.65","66.65","66.65","-","1.69%"
"2021년 03월 10일","65.54","65.54","65.54","65.54","-","0.26%"
"2021년 03월 09일","65.37","65.37","65.37","65.37","-","-0.70%"
"2021년 03월 08일","65.84","65.84","65.84","65.84","-","-1.58%"
"2021년 03월 05일","66.89","66.89","66.89","66.89","-","3.23%"
"2021년 03월 04일","64.80","64.80","64.80","64.80","-","3.59%"
"2021년 03월 03일","62.55","62.55","62.55","62.55","-","2.00%"
"2021년 03월 02일","61.33","61.33","61.33","61.33","-","-1.53%"
"2021년 03월 01일","62.28","62.28","62.28","62.28","-","2.34%"
"2021년 02월 26일","60.85","60.85","60.85","60.85","-","0.03%"
"2021년 02월 25일","60.84","60.84","60.84","60.84","-","0.04%"
"2021년 02월 24일","60.81","60.81","60.81","60.81","-","0.29%"
"2021년 02월 23일","60.63","60.63","60.63","60.63","-","0.02%"
"2021년 02월 22일","60.62","60.62","60.62","60.62","-","0.70%"
"2021년 02월 19일","60.20","60.20","60.20","60.20","-","-0.66%"
"2021년 02월 18일","60.59","60.59","60.59","60.59","-","-0.49%"
"2021년 02월 17일","60.89","60.89","60.89","60.89","-","0.48%"
"2021년 02월 16일","60.60","60.60","60.60","60.60","-","0.61%"
"2021년 02월 12일","60.23","60.23","60.23","60.23","-","1.13%"
"2021년 02월 11일","59.56","59.56","59.56","59.56","-","-0.23%"
"2021년 02월 10일","59.69","59.69","59.69","59.69","-","0.10%"
"2021년 02월 09일","59.63","59.63","59.63","59.63","-","0.45%"
"2021년 02월 08일","59.36","59.36","59.36","59.36","-","1.65%"
"2021년 02월 05일","58.40","58.40","58.40","58.40","-","0.74%"
"2021년 02월 04일","57.97","57.97","57.97","57.97","-","0.48%"
"2021년 02월 03일","57.69","57.69","57.69","57.69","-","1.73%"
"2021년 02월 02일","56.71","56.71","56.71","56.71","-","1.88%"
"2021년 02월 01일","55.66","55.66","55.66","55.66","-","1.62%"
"2021년 01월 29일","54.77","54.77","54.77","54.77","-","0.02%"
"2021년 01월 28일","54.76","54.76","54.76","54.76","-","-0.09%"
"2021년 01월 27일","54.81","54.81","54.81","54.81","-","-0.02%"
"2021년 01월 26일","54.82","54.82","54.82","54.82","-","-0.08%"
"2021년 01월 25일","54.87","54.87","54.87","54.87","-","0.20%"
"2021년 01월 22일","54.76","54.76","54.76","54.76","-","-0.35%"
"2021년 01월 21일","54.95","54.95","54.95","54.95","-","-0.02%"
"2021년 01월 20일","54.97","54.97","54.97","54.97","-","0.14%"
"2021년 01월 19일","54.89","54.89","54.89","54.89","-","0.66%"
"2021년 01월 15일","54.53","54.53","54.53","54.53","-","-1.15%"
"2021년 01월 14일","55.17","55.17","55.17","55.17","-","0.37%"
"2021년 01월 13일","54.96","54.96","54.96","54.96","-","-0.73%"
"2021년 01월 12일","55.37","55.37","55.37","55.37","-","1.08%"
"2021년 01월 11일","54.78","54.78","54.78","54.78","-","-0.51%"
"2021년 01월 08일","55.06","55.06","55.06","55.06","-","2.37%"
"2021년 01월 07일","53.78","53.78","53.78","53.78","-","0.28%"
"2021년 01월 06일","53.63","53.63","53.63","53.63","-","1.50%"
"2021년 01월 05일","52.84","52.84","52.84","52.84","-","4.40%"
"2021년 01월 04일","50.61","50.61","50.61","50.61","-","1.60%"
"2020년 12월 31일","49.81","49.81","49.81","49.81","-","0.00%"
"2020년 12월 30일","49.82","49.82","49.82","49.82","-","0.07%"
"2020년 12월 29일","49.78","49.78","49.78","49.78","-","0.01%"
"2020년 12월 28일","49.77","49.77","49.77","49.77","-","-0.13%"
"2020년 12월 24일","49.84","49.84","49.84","49.84","-","0.04%"
"2020년 12월 23일","49.81","49.81","49.81","49.81","-","0.49%"
"2020년 12월 22일","49.57","49.57","49.57","49.57","-","-0.58%"
"2020년 12월 21일","49.86","49.86","49.86","49.86","-","-0.96%"
"2020년 12월 18일","50.34","50.34","50.34","50.34","-","0.53%"
"2020년 12월 17일","50.08","50.08","50.08","50.08","-","0.23%"
"2020년 12월 16일","49.96","49.96","49.96","49.96","-","0.30%"
"2020년 12월 15일","49.81","49.81","49.81","49.81","-","0.72%"
"2020년 12월 14일","49.46","49.46","49.46","49.46","-","0.48%"
"2020년 12월 11일","49.22","49.22","49.22","49.22","-","-0.13%"
"2020년 12월 10일","49.29","49.29","49.29","49.29","-","1.80%"
"2020년 12월 09일","48.42","48.42","48.42","48.42","-","0.28%"
"2020년 12월 08일","48.28","48.28","48.28","48.28","-","0.12%"
"2020년 12월 07일","48.23","48.23","48.23","48.23","-","-0.26%"
"2020년 12월 04일","48.35","48.35","48.35","48.35","-","0.65%"
"2020년 12월 03일","48.04","48.04","48.04","48.04","-","0.78%"
"2020년 12월 02일","47.67","47.67","47.67","47.67","-","1.51%"
"2020년 12월 01일","46.96","46.96","46.96","46.96","-","8.22%"
"2020년 11월 30일","43.39","43.39","43.39","43.39","-","-0.10%"
"2020년 11월 27일","43.44","43.44","43.44","43.44","-","-0.19%"
"2020년 11월 25일","43.52","43.52","43.52","43.52","-","0.29%"
"2020년 11월 24일","43.40","43.40","43.40","43.40","-","0.74%"
"2020년 11월 23일","43.08","43.08","43.08","43.08","-","0.55%"
"2020년 11월 20일","42.84","42.84","42.84","42.84","-","0.57%"
"2020년 11월 19일","42.60","42.60","42.60","42.60","-","-0.22%"
"2020년 11월 18일","42.69","42.69","42.69","42.69","-","0.48%"
"2020년 11월 17일","42.49","42.49","42.49","42.49","-","-0.08%"
"2020년 11월 16일","42.52","42.52","42.52","42.52","-","1.55%"
"2020년 11월 13일","41.87","41.87","41.87","41.87","-","-1.17%"
"2020년 11월 12일","42.37","42.37","42.37","42.37","-","0.03%"
"2020년 11월 11일","42.36","42.36","42.36","42.36","-","0.39%"
"2020년 11월 10일","42.19","42.19","42.19","42.19","-","1.90%"
"2020년 11월 09일","41.40","41.40","41.40","41.40","-","5.40%"
"2020년 11월 06일","39.28","39.28","39.28","39.28","-","-2.14%"
"2020년 11월 05일","40.14","40.14","40.14","40.14","-","-1.00%"
"2020년 11월 04일","40.55","40.55","40.55","40.55","-","3.54%"
"2020년 11월 03일","39.16","39.16","39.16","39.16","-","2.11%"
"2020년 11월 02일","38.36","38.36","38.36","38.36","-","-5.67%"
"2020년 10월 30일","40.66","40.66","40.66","40.66","-","-0.05%"
"2020년 10월 29일","40.68","40.68","40.68","40.68","-","-0.17%"
"2020년 10월 28일","40.75","40.75","40.75","40.75","-","-0.56%"
"2020년 10월 27일","40.98","40.98","40.98","40.98","-","0.23%"
"2020년 10월 26일","40.89","40.89","40.89","40.89","-","-0.62%"
"2020년 10월 23일","41.14","41.14","41.14","41.14","-","-0.40%"
"2020년 10월 22일","41.31","41.31","41.31","41.31","-","0.58%"
"2020년 10월 21일","41.07","41.07","41.07","41.07","-","-1.26%"
"2020년 10월 20일","41.59","41.59","41.59","41.59","-","0.52%"
"2020년 10월 19일","41.37","41.37","41.37","41.37","-","-0.26%"
"2020년 10월 16일","41.48","41.48","41.48","41.48","-","-0.40%"
"2020년 10월 15일","41.65","41.65","41.65","41.65","-","-0.31%"
"2020년 10월 14일","41.78","41.78","41.78","41.78","-","1.31%"
"2020년 10월 13일","41.24","41.24","41.24","41.24","-","1.13%"
"2020년 10월 12일","40.78","40.78","40.78","40.78","-","-1.69%"
"2020년 10월 09일","41.48","41.48","41.48","41.48","-","-0.94%"
"2020년 10월 08일","41.88","41.88","41.88","41.88","-","2.19%"
"2020년 10월 07일","40.98","40.98","40.98","40.98","-","-1.41%"
"2020년 10월 06일","41.56","41.56","41.56","41.56","-","2.83%"
"2020년 10월 05일","40.42","40.42","40.42","40.42","-","5.04%"
"2020년 10월 02일","38.48","38.48","38.48","38.48","-","-4.53%"
"2020년 10월 01일","40.30","40.30","40.30","40.30","-","-2.87%"
"2020년 09월 30일","41.49","41.49","41.49","41.49","-","-0.09%"
"2020년 09월 29일","41.53","41.53","41.53","41.53","-","-0.22%"
"2020년 09월 28일","41.62","41.62","41.62","41.62","-","0.05%"
"2020년 09월 25일","41.60","41.60","41.60","41.60","-","0.09%"
"2020년 09월 24일","41.56","41.56","41.56","41.56","-","0.19%"
"2020년 09월 23일","41.49","41.49","41.49","41.49","-","-0.02%"
"2020년 09월 22일","41.50","41.50","41.50","41.50","-","0.21%"
"2020년 09월 21일","41.41","41.41","41.41","41.41","-","-1.43%"
"2020년 09월 18일","42.01","42.01","42.01","42.01","-","-0.02%"
"2020년 09월 17일","42.02","42.02","42.02","42.02","-","1.06%"
"2020년 09월 16일","41.58","41.58","41.58","41.58","-","2.18%"
"2020년 09월 15일","40.69","40.69","40.69","40.69","-","1.34%"
"2020년 09월 14일","40.15","40.15","40.15","40.15","-","-0.23%"
"2020년 09월 11일","40.24","40.24","40.24","40.24","-","-0.01%"
"2020년 09월 10일","40.25","40.25","40.25","40.25","-","-1.29%"
"2020년 09월 09일","40.78","40.78","40.78","40.78","-","1.44%"
"2020년 09월 08일","40.20","40.20","40.20","40.20","-","-5.67%"
"2020년 09월 04일","42.61","42.61","42.61","42.61","-","-2.29%"
"2020년 09월 03일","43.61","43.61","43.61","43.61","-","-0.50%"
"2020년 09월 02일","43.83","43.83","43.83","43.83","-","-2.27%"
"2020년 09월 01일","44.85","44.85","44.85","44.85","-","1.95%"
"2020년 08월 31일","43.99","43.99","43.99","43.99","-","0.10%"
"2020년 08월 28일","43.94","43.94","43.94","43.94","-","-0.05%"
"2020년 08월 27일","43.96","43.96","43.96","43.96","-","0.00%"
"2020년 08월 26일","43.96","43.96","43.96","43.96","-","-0.09%"
"2020년 08월 25일","44.00","44.00","44.00","44.00","-","0.20%"
"2020년 08월 24일","43.91","43.91","43.91","43.91","-","0.50%"
"2020년 08월 21일","43.69","43.69","43.69","43.69","-","-0.21%"
"2020년 08월 20일","43.78","43.78","43.78","43.78","-","-0.39%"
"2020년 08월 19일","43.96","43.96","43.96","43.96","-","-0.01%"
"2020년 08월 18일","43.96","43.96","43.96","43.96","-","0.42%"
"2020년 08월 17일","43.78","43.78","43.78","43.78","-","0.89%"
"2020년 08월 14일","43.39","43.39","43.39","43.39","-","-0.45%"
"2020년 08월 13일","43.59","43.59","43.59","43.59","-","-0.87%"
"2020년 08월 12일","43.97","43.97","43.97","43.97","-","1.36%"
"2020년 08월 11일","43.38","43.38","43.38","43.38","-","-0.92%"
"2020년 08월 10일","43.78","43.78","43.78","43.78","-","1.03%"
"2020년 08월 07일","43.33","43.33","43.33","43.33","-","-0.64%"
"2020년 08월 06일","43.61","43.61","43.61","43.61","-","-0.60%"
"2020년 08월 05일","43.88","43.88","43.88","43.88","-","1.11%"
"2020년 08월 04일","43.40","43.40","43.40","43.40","-","0.02%"
"2020년 08월 03일","43.39","43.39","43.39","43.39","-","1.98%"
"2020년 07월 31일","42.54","42.54","42.54","42.54","-","-1.70%"
"2020년 07월 30일","43.28","43.28","43.28","43.28","-","-0.04%"
"2020년 07월 29일","43.29","43.29","43.29","43.29","-","0.03%"
"2020년 07월 28일","43.28","43.28","43.28","43.28","-","-0.12%"
"2020년 07월 27일","43.33","43.33","43.33","43.33","-","0.11%"
"2020년 07월 24일","43.28","43.28","43.28","43.28","-","-0.04%"
"2020년 07월 23일","43.30","43.30","43.30","43.30","-","-0.72%"
"2020년 07월 22일","43.62","43.62","43.62","43.62","-","0.08%"
"2020년 07월 21일","43.58","43.58","43.58","43.58","-","1.22%"
"2020년 07월 20일","43.05","43.05","43.05","43.05","-","0.13%"
"2020년 07월 17일","43.00","43.00","43.00","43.00","-","-0.70%"
"2020년 07월 16일","43.30","43.30","43.30","43.30","-","-1.10%"
"2020년 07월 15일","43.78","43.78","43.78","43.78","-","1.31%"
"2020년 07월 14일","43.22","43.22","43.22","43.22","-","0.28%"
"2020년 07월 13일","43.10","43.10","43.10","43.10","-","-0.70%"
"2020년 07월 10일","43.40","43.40","43.40","43.40","-","1.43%"
"2020년 07월 09일","42.79","42.79","42.79","42.79","-","-1.16%"
"2020년 07월 08일","43.29","43.29","43.29","43.29","-","0.47%"
"2020년 07월 07일","43.09","43.09","43.09","43.09","-","0.46%"
"2020년 07월 06일","42.89","42.89","42.89","42.89","-","-0.72%"
"2020년 07월 02일","43.20","43.20","43.20","43.20","-","2.23%"
"2020년 07월 01일","42.26","42.26","42.26","42.26","-","3.60%"
"2020년 06월 30일","40.79","40.79","40.79","40.79","-","-0.01%"
"2020년 06월 29일","40.80","40.80","40.80","40.80","-","-0.02%"
"2020년 06월 26일","40.81","40.81","40.81","40.81","-","0.05%"
"2020년 06월 25일","40.78","40.78","40.78","40.78","-","0.35%"
"2020년 06월 24일","40.64","40.64","40.64","40.64","-","-0.97%"
"2020년 06월 23일","41.04","41.04","41.04","41.04","-","-0.20%"
"2020년 06월 22일","41.12","41.12","41.12","41.12","-","0.12%"
"2020년 06월 19일","41.07","41.07","41.07","41.07","-","1.09%"
"2020년 06월 18일","40.63","40.63","40.63","40.63","-","1.00%"
"2020년 06월 17일","40.23","40.23","40.23","40.23","-","-0.14%"
"2020년 06월 16일","40.28","40.28","40.28","40.28","-","1.08%"
"2020년 06월 15일","39.85","39.85","39.85","39.85","-","0.89%"
"2020년 06월 12일","39.50","39.50","39.50","39.50","-","0.15%"
"2020년 06월 11일","39.44","39.44","39.44","39.44","-","-5.01%"
"2020년 06월 10일","41.52","41.52","41.52","41.52","-","1.72%"
"2020년 06월 09일","40.82","40.82","40.82","40.82","-","0.31%"
"2020년 06월 08일","40.69","40.69","40.69","40.69","-","-1.51%"
"2020년 06월 05일","41.32","41.32","41.32","41.32","-","5.53%"
"2020년 06월 04일","39.15","39.15","39.15","39.15","-","-0.27%"
"2020년 06월 03일","39.26","39.26","39.26","39.26","-","0.21%"
"2020년 06월 02일","39.17","39.17","39.17","39.17","-","2.23%"
"2020년 06월 01일","38.32","38.32","38.32","38.32","-","25.77%"
"2020년 05월 29일","30.47","30.47","30.47","30.47","-","-0.15%"
"2020년 05월 28일","30.51","30.51","30.51","30.51","-","0.28%"
"2020년 05월 27일","30.43","30.43","30.43","30.43","-","-0.53%"
"2020년 05월 26일","30.59","30.59","30.59","30.59","-","0.82%"
"2020년 05월 22일","30.34","30.34","30.34","30.34","-","-0.92%"
"2020년 05월 21일","30.62","30.62","30.62","30.62","-","0.18%"
"2020년 05월 20일","30.57","30.57","30.57","30.57","-","0.49%"
"2020년 05월 19일","30.42","30.42","30.42","30.42","-","-0.42%"
"2020년 05월 18일","30.55","30.55","30.55","30.55","-","2.51%"
"2020년 05월 15일","29.80","29.80","29.80","29.80","-","2.05%"
"2020년 05월 14일","29.20","29.20","29.20","29.20","-","9.45%"
"2020년 05월 13일","26.68","26.68","26.68","26.68","-","-0.48%"
"2020년 05월 12일","26.81","26.81","26.81","26.81","-","-1.69%"
"2020년 05월 11일","27.27","27.27","27.27","27.27","-","-4.45%"
"2020년 05월 08일","28.54","28.54","28.54","28.54","-","5.16%"
"2020년 05월 07일","27.14","27.14","27.14","27.14","-","-0.77%"
"2020년 05월 06일","27.35","27.35","27.35","27.35","-","-5.49%"
"2020년 05월 05일","28.94","28.94","28.94","28.94","-","10.46%"
"2020년 05월 04일","26.20","26.20","26.20","26.20","-","3.56%"
"2020년 05월 01일","25.30","25.30","25.30","25.30","-","24.08%"
"2020년 04월 30일","20.39","20.39","20.39","20.39","-","0.05%"
"2020년 04월 29일","20.38","20.38","20.38","20.38","-","-0.15%"
"2020년 04월 28일","20.41","20.41","20.41","20.41","-","0.20%"
"2020년 04월 27일","20.37","20.37","20.37","20.37","-","-0.39%"
"2020년 04월 24일","20.45","20.45","20.45","20.45","-","0.00%"
"2020년 04월 23일","20.45","20.45","20.45","20.45","-","2.25%"
"2020년 04월 22일","20.00","20.00","20.00","20.00","-","4.88%"
"2020년 04월 21일","19.07","19.07","19.07","19.07","-","-11.18%"
"2020년 04월 20일","21.47","21.47","21.47","21.47","-","-3.42%"
"2020년 04월 17일","22.23","22.23","22.23","22.23","-","2.40%"
"2020년 04월 16일","21.71","21.71","21.71","21.71","-","1.16%"
"2020년 04월 15일","21.46","21.46","21.46","21.46","-","-2.28%"
"2020년 04월 14일","21.96","21.96","21.96","21.96","-","-11.24%"
"2020년 04월 13일","24.74","24.74","24.74","24.74","-","6.36%"
"2020년 04월 09일","23.26","23.26","23.26","23.26","-","-11.09%"
"2020년 04월 08일","26.16","26.16","26.16","26.16","-","0.62%"
"2020년 04월 07일","26.00","26.00","26.00","26.00","-","-5.28%"
"2020년 04월 06일","27.45","27.45","27.45","27.45","-","-6.60%"
"2020년 04월 03일","29.39","29.39","29.39","29.39","-","12.35%"
"2020년 04월 02일","26.16","26.16","26.16","26.16","-","16.47%"
"2020년 04월 01일","22.46","22.46","22.46","22.46","-","-33.35%"
"2020년 03월 31일","33.70","33.70","33.70","33.70","-","-0.41%"
"2020년 03월 30일","33.84","33.84","33.84","33.84","-","-0.21%"
"2020년 03월 27일","33.91","33.91","33.91","33.91","-","-0.47%"
"2020년 03월 26일","34.07","34.07","34.07","34.07","-","-0.23%"
"2020년 03월 25일","34.15","34.15","34.15","34.15","-","0.47%"
"2020년 03월 24일","33.99","33.99","33.99","33.99","-","0.09%"
"2020년 03월 23일","33.96","33.96","33.96","33.96","-","-0.26%"
"2020년 03월 20일","34.05","34.05","34.05","34.05","-","-1.56%"
"2020년 03월 19일","34.59","34.59","34.59","34.59","-","2.92%"
"2020년 03월 18일","33.61","33.61","33.61","33.61","-","-4.71%"
"2020년 03월 17일","35.27","35.27","35.27","35.27","-","-0.51%"
"2020년 03월 16일","35.45","35.45","35.45","35.45","-","-4.09%"
"2020년 03월 13일","36.96","36.96","36.96","36.96","-","1.79%"
"2020년 03월 12일","36.31","36.31","36.31","36.31","-","-3.48%"
"2020년 03월 11일","37.62","37.62","37.62","37.62","-","-1.36%"
"2020년 03월 10일","38.14","38.14","38.14","38.14","-","5.18%"
"2020년 03월 09일","36.26","36.26","36.26","36.26","-","-20.67%"
"2020년 03월 06일","45.71","45.71","45.71","45.71","-","-8.07%"
"2020년 03월 05일","49.72","49.72","49.72","49.72","-","-1.51%"
"2020년 03월 04일","50.48","50.48","50.48","50.48","-","-0.88%"
"2020년 03월 03일","50.93","50.93","50.93","50.93","-","-0.04%"
"2020년 03월 02일","50.95","50.95","50.95","50.95","-","-6.03%"
"2020년 02월 28일","54.22","54.22","54.22","54.22","-","-0.06%"
"2020년 02월 27일","54.25","54.25","54.25","54.25","-","-0.15%"
"2020년 02월 26일","54.33","54.33","54.33","54.33","-","-0.39%"
"2020년 02월 25일","54.54","54.54","54.54","54.54","-","-0.26%"
"2020년 02월 24일","54.68","54.68","54.68","54.68","-","-1.07%"
"2020년 02월 21일","55.27","55.27","55.27","55.27","-","-0.49%"
"2020년 02월 20일","55.54","55.54","55.54","55.54","-","-0.20%"
"2020년 02월 19일","55.65","55.65","55.65","55.65","-","0.91%"
"2020년 02월 18일","55.15","55.15","55.15","55.15","-","-0.34%"
"2020년 02월 14일","55.34","55.34","55.34","55.34","-","0.69%"
