"국가",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"국가",동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"한국",21.5,66,58.5,56.4,187.3,40.7,15.7,32.2,0,20.4,16.3,4.5,4.4,5.7,2.2,9,12.5,7.5,6,6.2,5.5,6.6,21.5,66,58.6,56.4,187.1,40.7,15.7,32.2,0,20.3,16.4,4.5,4.5,5.7,2.2,9,12.5,7.5,6,6.2,5.5,6.6,21.5,66,59.3,56.4,187.1,40.7,15.7,31.4,0,20.4,16.7,4.6,4.5,5.6,2.4,9,12.5,7.6,5.9,6,5.7,6.1,21.5,66,59.5,56.4,187.1,40.7,15.7,31.4,0,20.4,16.7,4.6,4.5,5.7,2.4,9,12.5,7.6,5.9,5.7,5.7,5.7,21.5,66,58.7,56.4,187,40.7,15.7,31.4,0,20.4,16.7,4.6,4.5,5.6,2.4,9,12.5,7.6,5.8,5.4,5.7,5.3
"중국",14.1,12.3,14.8,14.9,23,10.9,28.7,23.5,22,11.9,10.6,7.8,5.3,6.7,4.5,9.6,16,13.5,8.2,9,11.4,12.1,14.2,12.3,14.8,14.9,23,10.9,28.7,23.5,18,11.8,10.7,7.8,5.3,6.7,4.5,9.6,16,13.5,8.2,8.9,11.4,12.1,14.1,12.3,14.7,14.9,23,10.9,28.7,23.7,22,11.9,10.8,7.8,5.3,6.6,4.1,9.6,16,13.3,8.1,8.6,12.3,11.7,14.2,12.3,14.8,14.9,23,10.9,28.7,23.7,18,11.8,10.9,7.8,5.3,6.7,4.1,9.6,16,13.2,8.1,8.4,12.3,11.6,13.3,12.3,12.2,12.3,19.5,10.9,28.7,18.2,22,11.8,7.2,6.3,5.3,6,3.2,7,6.8,10.6,6.8,6,9.6,7.1
"인도",31.1,33.5,29.4,56.3,31.3,35.1,35.9,68.6,6,22.3,29.9,7.9,4.9,7.9,9,11.8,12.3,10.1,7.1,7.2,19.4,8.8,31.1,33.5,29.4,56.3,31.3,35.1,35.9,68.6,6,22.3,29.9,8.2,4.2,7.9,9,11.7,12.3,10.1,7.1,7.3,19.3,8.8,31.1,33.5,29.4,56.3,31.3,34,35.9,69.5,6,22.3,29.9,8.5,4.2,8.1,8.9,11.9,15.1,10.1,7.2,7.3,24.9,8.9,32.5,34.8,32.4,56.3,37.1,54.1,51.5,74.7,26,29,30,11,9.2,10.1,10,20.7,20.5,12.1,7.8,8.8,31.1,11.1,32.5,35.7,33.2,56.3,37.1,52,51.5,74.7,26,29,30,11.2,9.2,10.2,10,22.3,23.9,13.1,8.1,9.1,31.2,11.1
"인도네시아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.1,5.5,5.6,13.2,7.4,4.5,7,44.2,4,4.1,6.2,7,0.2,5.4,5.2,10.4,23.8,10,5,6.1,11.1,7.5,7.1,5.5,5.7,13.2,7.5,4.5,7.2,45.9,4,4.1,6.3,7.1,0.2,5.3,5,11.5,23.9,9.9,5.4,6,13.5,7.5,7.1,5.5,5.7,13.2,7.4,4.4,7.2,45.8,4,4.1,6.3,7.1,0.2,5.3,5,11.5,23.9,9.9,5.4,6,13.5,7.5,7.1,5.5,5.7,13.2,7.4,4.4,7.5,46,4,4.1,6.3,7.1,0.2,5.3,5,11.5,23.9,9.9,5.4,6,13.5,7.5
"일본",10.7,69.1,9.3,13.8,31.1,5.4,19,14.1,0,2.9,5.7,1,0.7,2.2,0.8,5.4,9,8.9,0,0.1,0,1.2,10.8,65.7,9.4,14.3,32.3,5.9,20.6,14.6,0,3.1,5.7,1,0.8,2.2,0.9,5.4,9,8.7,0,0.1,0,1.2,10.6,63.4,9.4,14.4,33.5,6,23,15.1,0,3.1,5.6,1,0.7,2.3,0.9,5.4,9,7.7,0,0.1,0,1.2,13.2,95.1,10.5,14.7,37.5,7.8,26,15,0,3.9,5.6,1,0.7,2.1,0.9,5.4,9,10.3,0,0.1,0,1.2,11.7,102.3,10.7,15,35.5,7.8,23.7,14.7,0,3.7,5.7,1,0.7,2.1,0.9,5.3,9,10,0,0.1,0,1.2
"사우디아라비아",3.5,5,3.5,4.4,3.6,4.8,4,44.8,5,4.4,3.6,5.3,5.3,4.6,6.3,5.7,5.1,6,4.7,4.1,4.6,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,5,5.6,5.8,3.2,8.5,3.6,93.7,5,6.2,3.6,4.9,5,4.4,4.7,5,5,6.9,4.5,3.6,4.1,4.6,3.8,5,3.6,4.4,5.5,4.9,4.2,47.4,5,4.4,3.3,5.3,5.4,4.9,6.3,5.7,5.1,6,4.7,4.1,4.6,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"터키",103.7,136.1,33.9,32.5,40.6,13.9,86.4,37.1,0,11,34.2,3.1,2.2,4.7,0.9,6.5,11.5,4.1,1.8,2.7,4.3,2.6,103.7,135.9,34.1,37.6,40.5,14.2,93.4,37.1,0,10.9,34.2,3.1,2.4,4.6,1,6.5,11.5,4.1,1.8,2.6,4.3,2.6,104,135.6,33.9,37.6,40.2,14.8,93.3,37.6,0,10.8,34.5,3.2,2.4,4.7,0.9,6.5,11.5,4.1,1.8,2.7,4.7,2.6,100.5,136.3,33.2,37.9,35.1,14.3,94.2,37.9,0,10.8,34.5,3.2,2.4,4.7,0.9,6.5,11.5,4.1,1.8,2.7,4.7,2.6,101.1,131.6,33.8,32.8,36.8,13.5,94.6,37.6,0,11.1,40,3.1,3.2,4.7,0.9,6.5,11.5,4.1,1.9,2.8,4.7,2.8
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",24,248.9,3.3,10.4,22.7,3.9,3.5,3.9,0,7.1,0.9,1,0.9,0.8,0.9,2.3,16.5,3.8,0.4,1.1,5.7,2.5,23.5,248.9,3.3,10.4,20.5,3.8,3.5,3.8,0,2.9,0.9,1,0.9,0.8,0.9,2.3,16.5,3.8,0.4,1.1,5.7,2.5,24.2,249,2.3,10.1,20.4,3,3.5,3.7,0,5.7,0.9,1,0.9,0.7,1,2.3,16.5,3.8,0.4,1,5.5,2.5,24.4,249,2.3,10.1,20.6,3.1,3.5,3.6,0,6.1,0.9,1,0.9,0.7,1,2.3,16.5,3.8,0.4,0.9,5.5,2.5,24.1,249,2.3,10.1,19.8,3,3.5,3.6,0,2.6,0.9,1,0.9,0.7,1,2.3,16.6,3.8,0.4,0.8,5.5,2.4
"멕시코",24.6,23.8,16,24.4,11,9.4,32.7,25.7,0,6.6,15.5,2.8,0.1,2.3,4.4,9.7,20,5.8,2.8,3.5,8.5,5.2,21.7,21.6,15.8,20.8,9.5,8.7,31,25.7,0,6.6,15.5,2.8,0.1,2.3,4.5,9.8,21.2,6,2.8,3.5,8.5,5.1,16.7,21.4,15.7,20.2,8.9,7.2,25.4,25.7,0,6.6,14,3.6,0.1,2.3,4.5,9.8,21.2,6.1,2.8,3.5,8.5,5.1,16.7,23.3,16,20.4,9.5,7.2,31,27.8,0,6.6,14,3.6,0,2.3,4.5,9.8,21.3,6.1,2.8,3.5,8.5,5.1,16.7,23.2,16,20.4,9.5,7.2,30.2,27.3,0,6.6,14,4.2,0,2.3,4.5,9.8,21.3,6.1,2.8,3.5,8.5,5.1
"미국",2.2,17.5,4.7,3.3,3,7.3,14.8,18.6,4.8,1,0.8,1.7,7.1,2.8,0.5,7.9,11.6,3.8,1.2,1.7,3.1,2.4,2.2,16.6,4.7,3.3,3.1,7.2,16.4,19.1,4.6,1,0.8,1.7,6.5,2.8,0.5,7.9,11.6,3.8,1.2,1.7,3.1,2.4,2.2,18.3,4.8,3.2,3.1,7.4,15.7,18.6,4.8,1.1,0.7,1.7,1.8,2.8,0.5,7.9,11.6,3.9,1.2,1.5,2.9,2.2,2.3,19.6,4.7,3,3.1,7.3,14.5,18.4,5,1.1,0.7,1.8,1.8,2.8,0.6,8,11.7,3.9,1.2,1.5,2.9,2.2,2.2,19,4.7,3,3.1,4.9,14.9,13.6,4.8,1.1,0.7,1.7,1.5,2.8,0.5,8,11.6,3.9,1.2,1.4,2.9,2.2
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아르헨티나",8.3,18.3,10.2,14.3,10.9,8.5,17.6,17.7,6.4,7.9,10.4,10.1,0.1,8.2,11.1,23.3,34.9,16.1,13.3,14.8,14.6,15.7,8.3,18.3,10,14.3,10.9,8.5,17.6,17.8,6.4,7.7,10.4,10.1,0.1,8.2,11.2,23.3,35,16,13.4,14.8,18.5,15.7,8.3,18.3,10,14.3,10.9,8.5,17.6,17.8,6.4,7.7,10.4,10.1,0.1,8.2,11.2,23.2,35,16,13.2,14.7,18.4,15.7,8.3,18.3,9.8,14.3,10.9,8.5,17.6,17.8,6.4,7.7,10.4,10.1,0.1,8.2,11.1,23.3,35,16,13,14.5,18.5,15.6,8.3,18.3,9.8,14.3,10.9,8.7,17.6,18.2,6.4,7.7,10.3,10.1,0.1,8,10.7,23.3,35,16,13,13.8,19.1,15.5
"브라질",8.3,18.3,9.8,13.3,10.7,7.6,16.5,17.2,6.4,7.7,10.4,10.1,0.1,8.3,10.7,23.3,34.9,15.7,12.8,14.1,18.2,15.3,8.3,18.3,9.8,13.3,10.7,7.6,16.5,17.2,6.4,7.7,10.4,10.1,0.1,8.3,10.8,23.3,35,15.7,12.8,14.1,18.2,15.3,8.3,18.3,10,13.8,10.7,8,16.5,17.1,6.4,7.7,10.3,10.1,0.4,8,10.4,23.3,35,16.1,12.8,14.2,19.2,15.2,8.3,18.3,9.7,13.3,10.7,7.9,16.5,17.3,6.4,7.7,10.3,10.1,0.1,8.1,10.4,23.3,35,15.8,12.8,13.9,19,15.2,8.3,18.3,9.7,13.3,10.7,7.9,16.5,17.3,6.4,7.7,10.3,10.1,0.1,8.1,10.4,23.2,35,15.8,12.8,13.9,19,15.2
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"러시아",19.2,15.9,8.8,6.3,10.3,7,10.7,24.4,0,5,8.5,8.2,4.4,5.3,9.8,8.9,11,6.7,3,5.6,8.9,8.9,23.7,15.2,8.2,5.9,9.7,6.7,10.4,22.8,0,4.9,7.6,7.8,4.4,5,8.7,8,7.5,6.2,2.8,4.6,7.5,8.1,21.2,15.1,7.9,5.3,9.5,6.6,10.4,19.1,0,4.7,7.1,7.3,4.4,4.7,8.2,7.6,7.4,5.7,2.6,4.5,8.4,7.6,25.8,15.2,8,5.4,9.5,6.5,11.5,22.4,0,4.7,6.9,7.2,4.4,4.6,8,7.5,7.8,5.7,2.6,4.4,8.2,7.2,23.8,15,7.9,5.4,9.5,6.5,11.5,17.5,0,4.8,6.8,7.3,4.4,4.6,7.9,7.5,7.5,5.6,2.7,4.6,8,7.2
"아프리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"남아프리카공화국",10.9,7.1,9.2,7.2,8.6,7.6,8.8,20.3,4.5,2.2,6.3,3.7,0.6,2.3,6.1,17,41,13.3,1.5,4.6,6,3.8,10.9,5.9,9.2,7.1,9,7.6,10.4,19.9,4.4,2.2,6.3,4,0.6,2.3,6.1,17.1,41,13.3,1.5,4.6,6.1,3.8,11,7.8,9.1,7.1,9.4,7.6,5.8,20.3,4.5,2.2,6.4,4.6,0.6,2.1,6.1,17.1,41,13.3,1.4,4.5,6.6,3.8,11.1,9.2,9.1,7.2,9.1,7.6,11.6,20.5,4.6,2.2,6.4,4.9,0.7,2.1,6.1,17.3,41,13.3,1.4,4.5,6.6,3.8,11,8.1,9,7.1,8.8,7.5,14.9,20.1,4.4,2.2,6.4,4.9,0.7,2.1,6.1,17.1,41,13.3,1.4,4.5,6.6,3.8
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아",0.4,2.8,1.4,1,1.1,1.5,1.8,3.5,0,0.3,0,2.7,0,1.8,3.3,4.2,4.6,4.1,2.9,2.9,4.7,1.3,0.4,3.1,1.4,1,1.1,1.5,1.8,3.5,0,0.3,0,2.7,0,1.8,3.3,4.2,4.6,4.1,2.9,2.9,4.8,1.3,0.4,3.1,1.4,1,1.1,1.5,1.8,3.6,0,0.3,0,2.7,0,1.7,3.3,4.2,4.6,4.1,2.9,2.9,5.2,1.4,0.4,3.6,1.4,1,1.1,1.5,1.8,3.6,0,0.3,0,2.7,0,1.7,3.3,4.2,4.6,4.1,2.8,2.9,3.4,1.4,0.4,3.2,1.4,1,1.1,1.5,1.8,3.6,0,0.3,0,2.7,0,1.7,3.3,4.2,4.6,4.1,2.7,2.4,3.4,1.3
