exchange,year,week,CTRY_2
0.0014,2015,53,칠레
0.0014,2016,1,칠레
0.0014,2016,2,칠레
0.0014,2016,3,칠레
0.0014,2016,4,칠레
0.0014,2016,5,칠레
0.0014,2016,6,칠레
0.0014,2016,7,칠레
0.0014,2016,8,칠레
0.0014,2016,9,칠레
0.0015,2016,10,칠레
0.0015,2016,11,칠레
0.0015,2016,12,칠레
0.0015,2016,13,칠레
0.0015,2016,14,칠레
0.0015,2016,15,칠레
0.0015,2016,16,칠레
0.0015,2016,17,칠레
0.0015,2016,18,칠레
0.0015,2016,19,칠레
0.0014,2016,20,칠레
0.0014,2016,21,칠레
0.0014,2016,22,칠레
0.0015,2016,23,칠레
0.0015,2016,24,칠레
0.0015,2016,25,칠레
0.0015,2016,26,칠레
0.0015,2016,27,칠레
0.0015,2016,28,칠레
0.0015,2016,29,칠레
0.0015,2016,30,칠레
0.0015,2016,31,칠레
0.0015,2016,32,칠레
0.0015,2016,33,칠레
0.0015,2016,34,칠레
0.0015,2016,35,칠레
0.0015,2016,36,칠레
0.0015,2016,37,칠레
0.0015,2016,38,칠레
0.0015,2016,39,칠레
0.0015,2016,40,칠레
0.0015,2016,41,칠레
0.0015,2016,42,칠레
0.0015,2016,43,칠레
0.0015,2016,44,칠레
0.0015,2016,45,칠레
0.0015,2016,46,칠레
0.0015,2016,47,칠레
0.0015,2016,48,칠레
0.0015,2016,49,칠레
0.0015,2016,50,칠레
0.0015,2016,51,칠레
0.0015,2016,52,칠레
0.0015,2017,1,칠레
0.0015,2017,2,칠레
0.0015,2017,3,칠레
0.0015,2017,4,칠레
0.0015,2017,5,칠레
0.0016,2017,6,칠레
0.0016,2017,7,칠레
0.0016,2017,8,칠레
0.0015,2017,9,칠레
0.0015,2017,10,칠레
0.0015,2017,11,칠레
0.0015,2017,12,칠레
0.0015,2017,13,칠레
0.0015,2017,14,칠레
0.0015,2017,15,칠레
0.0015,2017,16,칠레
0.0015,2017,17,칠레
0.0015,2017,18,칠레
0.0015,2017,19,칠레
0.0015,2017,20,칠레
0.0015,2017,21,칠레
0.0015,2017,22,칠레
0.0015,2017,23,칠레
0.0015,2017,24,칠레
0.0015,2017,25,칠레
0.0015,2017,26,칠레
0.0015,2017,27,칠레
0.0015,2017,28,칠레
0.0015,2017,29,칠레
0.0015,2017,30,칠레
0.0015,2017,31,칠레
0.0015,2017,32,칠레
0.0015,2017,33,칠레
0.0016,2017,34,칠레
0.0016,2017,35,칠레
0.0016,2017,36,칠레
0.0016,2017,37,칠레
0.0016,2017,38,칠레
0.0016,2017,39,칠레
0.0016,2017,40,칠레
0.0016,2017,41,칠레
0.0016,2017,42,칠레
0.0016,2017,43,칠레
0.0016,2017,44,칠레
0.0016,2017,45,칠레
0.0016,2017,46,칠레
0.0016,2017,47,칠레
0.0016,2017,48,칠레
0.0015,2017,49,칠레
0.0015,2017,50,칠레
0.0016,2017,51,칠레
0.0016,2017,52,칠레
0.0016,2018,1,칠레
0.0017,2018,2,칠레
0.0017,2018,3,칠레
0.0017,2018,4,칠레
0.0017,2018,5,칠레
0.0017,2018,6,칠레
0.0017,2018,7,칠레
0.0017,2018,8,칠레
0.0017,2018,9,칠레
0.0017,2018,10,칠레
0.0017,2018,11,칠레
0.0016,2018,12,칠레
0.0017,2018,13,칠레
0.0017,2018,14,칠레
0.0017,2018,15,칠레
0.0017,2018,16,칠레
0.0017,2018,17,칠레
0.0016,2018,18,칠레
0.0016,2018,19,칠레
0.0016,2018,20,칠레
0.0016,2018,21,칠레
0.0016,2018,22,칠레
0.0016,2018,23,칠레
0.0016,2018,24,칠레
0.0016,2018,25,칠레
0.0016,2018,26,칠레
0.0015,2018,27,칠레
0.0015,2018,28,칠레
0.0015,2018,29,칠레
0.0015,2018,30,칠레
0.0016,2018,31,칠레
0.0015,2018,32,칠레
0.0015,2018,33,칠레
0.0015,2018,34,칠레
0.0015,2018,35,칠레
0.0015,2018,36,칠레
0.0014,2018,37,칠레
0.0015,2018,38,칠레
0.0015,2018,39,칠레
0.0015,2018,40,칠레
0.0015,2018,41,칠레
0.0015,2018,42,칠레
0.0015,2018,43,칠레
0.0014,2018,44,칠레
0.0015,2018,45,칠레
0.0015,2018,46,칠레
0.0015,2018,47,칠레
0.0015,2018,48,칠레
0.0015,2018,49,칠레
0.0015,2018,50,칠레
0.0015,2018,51,칠레
0.0014,2018,52,칠레
0.0014,2019,1,칠레
0.0015,2019,2,칠레
0.0015,2019,3,칠레
0.0015,2019,4,칠레
0.0015,2019,5,칠레
0.0015,2019,6,칠레
0.00151,2019,7,칠레
0.001513,2019,8,칠레
0.001536,2019,9,칠레
0.0015140000000000002,2019,10,칠레
0.00149,2019,11,칠레
0.001501,2019,12,칠레
0.001471,2019,13,칠레
0.0014939999999999999,2019,14,칠레
0.001505,2019,15,칠레
0.0015119999999999999,2019,16,칠레
0.001504,2019,17,칠레
0.001474,2019,18,칠레
0.0014730000000000001,2019,19,칠레
0.001442,2019,20,칠레
0.001436,2019,21,칠레
0.001431,2019,22,칠레
0.0014210000000000002,2019,23,칠레
0.001428,2019,24,칠레
0.001428,2019,25,칠레
0.001468,2019,26,칠레
0.001469,2019,27,칠레
0.0014529999999999999,2019,28,칠레
0.001471,2019,29,칠레
0.00145,2019,30,칠레
0.0014349999999999999,2019,31,칠레
0.0013859999999999999,2019,32,칠레
0.0014,2019,33,칠레
0.001401,2019,34,칠레
0.001389,2019,35,칠레
0.0013779999999999999,2019,36,칠레
0.001398,2019,37,칠레
0.001408,2019,38,칠레
0.001385,2019,39,칠레
0.001371,2019,40,칠레
0.00139,2019,41,칠레
0.0014,2019,42,칠레
0.001374,2019,43,칠레
0.001381,2019,44,칠레
0.001347,2019,45,칠레
0.0013160000000000001,2019,46,칠레
0.001286,2019,47,칠레
0.0012619999999999999,2019,48,칠레
0.0012439999999999999,2019,49,칠레
0.0012929999999999999,2019,50,칠레
0.001312,2019,51,칠레
0.001327,2019,52,칠레
0.001325,2020,1,칠레
0.001291,2020,2,칠레
0.0012900000000000001,2020,3,칠레
0.001295,2020,4,칠레
0.001268,2020,5,칠레
0.001269,2020,6,칠레
0.001259,2020,7,칠레
0.00126,2020,8,칠레
0.001236,2020,9,칠레
0.00123,2020,10,칠레
0.001191,2020,11,칠레
0.00117,2020,12,칠레
0.0011619999999999998,2020,13,칠레
0.001163,2020,14,칠레
0.001174,2020,15,칠레
0.001175,2020,16,칠레
0.001165,2020,17,칠레
0.001166,2020,18,칠레
0.001192,2020,19,칠레
0.001213,2020,20,칠레
0.00122,2020,21,칠레
0.001242,2020,22,칠레
0.00126,2020,23,칠레
0.001302,2020,24,칠레
0.001276,2020,25,칠레
0.001219,2020,26,칠레
0.001215,2020,27,칠레
0.00125,2020,28,칠레
0.001265,2020,29,칠레
0.001271,2020,30,칠레
0.001301,2020,31,칠레
0.001318,2020,32,칠레
0.00124,2020,33,칠레
0.0012369999999999998,2020,34,칠레
0.0012720000000000001,2020,35,칠레
0.001288,2020,36,칠레
0.001289,2020,37,칠레
0.001306,2020,38,칠레
0.001291,2020,39,칠레
0.001274,2020,40,칠레
0.0012519999999999999,2020,41,칠레
0.001254,2020,42,칠레
0.001269,2020,43,칠레
0.001289,2020,44,칠레
0.001302,2020,45,칠레
0.0013189999999999999,2020,46,칠레
0.0013039999999999998,2020,47,칠레
0.001292,2020,48,칠레
0.00131,2020,49,칠레
0.001341,2020,50,칠레
0.001359,2020,51,칠레
0.001377,2020,52,칠레
0.0014039999999999999,2020,53,칠레
0.001419,2021,1,칠레
0.001389,2021,2,칠레
0.001361,2021,3,칠레
0.001364,2021,4,칠레
0.001362,2021,5,칠레
0.001359,2021,6,칠레
0.001389,2021,7,칠레
0.0014140000000000001,2021,8,칠레
0.0013830000000000001,2021,9,칠레
0.0013570000000000001,2021,10,칠레
0.001382,2021,11,칠레
0.001394,2021,12,칠레
0.001362,2021,13,칠레
0.0013859999999999999,2021,14,칠레
0.001402,2021,15,칠레
0.001426,2021,16,칠레
0.001418,2021,17,칠레
0.001419,2021,18,칠레
0.001434,2021,19,칠레
0.001396,2021,20,칠레
0.001369,2021,21,칠레
0.001382,2021,22,칠레
0.001395,2021,23,칠레
0.001389,2021,24,칠레
0.0013369999999999999,2021,25,칠레
0.001359,2021,26,칠레
0.1541,2015,53,중국
0.153,2016,1,중국
0.1522,2016,2,중국
0.152,2016,3,중국
0.152,2016,4,중국
0.152,2016,5,중국
0.1521,2016,6,중국
0.1539,2016,7,중국
0.1533,2016,8,중국
0.1525,2016,9,중국
0.1535,2016,10,중국
0.1538,2016,11,중국
0.1542,2016,12,중국
0.1537,2016,13,중국
0.1543,2016,14,중국
0.1548,2016,15,중국
0.1545,2016,16,중국
0.154,2016,17,중국
0.1545,2016,18,중국
0.1535,2016,19,중국
0.1533,2016,20,중국
0.1525,2016,21,중국
0.1519,2016,22,중국
0.1524,2016,23,중국
0.1519,2016,24,중국
0.152,2016,25,중국
0.1504,2016,26,중국
0.15,2016,27,중국
0.1494,2016,28,중국
0.1492,2016,29,중국
0.1497,2016,30,중국
0.1505,2016,31,중국
0.1502,2016,32,중국
0.1507,2016,33,중국
0.1504,2016,34,중국
0.1497,2016,35,중국
0.1497,2016,36,중국
0.1497,2016,37,중국
0.1499,2016,38,중국
0.1499,2016,39,중국
0.1499,2016,40,중국
0.149,2016,41,중국
0.1484,2016,42,중국
0.1475,2016,43,중국
0.1475,2016,44,중국
0.1475,2016,45,중국
0.1461,2016,46,중국
0.1451,2016,47,중국
0.1447,2016,48,중국
0.1454,2016,49,중국
0.1447,2016,50,중국
0.1438,2016,51,중국
0.1439,2016,52,중국
0.1439,2017,1,중국
0.1442,2017,2,중국
0.1449,2017,3,중국
0.1459,2017,4,중국
0.1453,2017,5,중국
0.1457,2017,6,중국
0.1453,2017,7,중국
0.1454,2017,8,중국
0.1456,2017,9,중국
0.1449,2017,10,중국
0.1447,2017,11,중국
0.1447,2017,12,중국
0.1455,2017,13,중국
0.1452,2017,14,중국
0.1449,2017,15,중국
0.1453,2017,16,중국
0.1452,2017,17,중국
0.1451,2017,18,중국
0.1448,2017,19,중국
0.1451,2017,20,중국
0.1452,2017,21,중국
0.1459,2017,22,중국
0.147,2017,23,중국
0.1471,2017,24,중국
0.1467,2017,25,중국
0.1462,2017,26,중국
0.147,2017,27,중국
0.147,2017,28,중국
0.1477,2017,29,중국
0.1482,2017,30,중국
0.1487,2017,31,중국
0.1488,2017,32,중국
0.1499,2017,33,중국
0.15,2017,34,중국
0.1513,2017,35,중국
0.1531,2017,36,중국
0.1531,2017,37,중국
0.1521,2017,38,중국
0.151,2017,39,중국
0.1503,2017,40,중국
0.151,2017,41,중국
0.1517,2017,42,중국
0.1506,2017,43,중국
0.1505,2017,44,중국
0.1507,2017,45,중국
0.1505,2017,46,중국
0.1507,2017,47,중국
0.1516,2017,48,중국
0.151,2017,49,중국
0.1511,2017,50,중국
0.1512,2017,51,중국
0.153,2017,52,중국
0.1537,2018,1,중국
0.1538,2018,2,중국
0.1553,2018,3,중국
0.1562,2018,4,중국
0.1578,2018,5,중국
0.159,2018,6,중국
0.158,2018,7,중국
0.1575,2018,8,중국
0.1583,2018,9,중국
0.1575,2018,10,중국
0.158,2018,11,중국
0.1579,2018,12,중국
0.1594,2018,13,중국
0.1593,2018,14,중국
0.1585,2018,15,중국
0.1593,2018,16,중국
0.1583,2018,17,중국
0.1579,2018,18,중국
0.157,2018,19,중국
0.1578,2018,20,중국
0.1567,2018,21,중국
0.1562,2018,22,중국
0.156,2018,23,중국
0.1562,2018,24,중국
0.1553,2018,25,중국
0.1529,2018,26,중국
0.15,2018,27,중국
0.1512,2018,28,중국
0.1495,2018,29,중국
0.1472,2018,30,중국
0.1467,2018,31,중국
0.1459,2018,32,중국
0.1451,2018,33,중국
0.1459,2018,34,중국
0.1467,2018,35,중국
0.1466,2018,36,중국
0.1459,2018,37,중국
0.1459,2018,38,중국
0.1459,2018,39,중국
0.1456,2018,40,중국
0.1442,2018,41,중국
0.1446,2018,42,중국
0.1439,2018,43,중국
0.1436,2018,44,중국
0.1444,2018,45,중국
0.1436,2018,46,중국
0.1441,2018,47,중국
0.1441,2018,48,중국
0.1453,2018,49,중국
0.1447,2018,50,중국
0.145,2018,51,중국
0.1449,2018,52,중국
0.1454,2019,1,중국
0.1459,2019,2,중국
0.1477,2019,3,중국
0.1471,2019,4,중국
0.1482,2019,5,중국
0.1482,2019,6,중국
0.1472,2019,7,중국
0.1478,2019,8,중국
0.1494,2019,9,중국
0.149,2019,10,중국
0.1486,2019,11,중국
0.1489,2019,12,중국
0.149,2019,13,중국
0.149,2019,14,중국
0.1489,2019,15,중국
0.149,2019,16,중국
0.149,2019,17,중국
0.1485,2019,18,중국
0.1477,2019,19,중국
0.1453,2019,20,중국
0.1446,2019,21,중국
0.145,2019,22,중국
0.1448,2019,23,중국
0.1443,2019,24,중국
0.1444,2019,25,중국
0.1453,2019,26,중국
0.1459,2019,27,중국
0.1453,2019,28,중국
0.1454,2019,29,중국
0.1453,2019,30,중국
0.1451,2019,31,중국
0.1417,2019,32,중국
0.1417,2019,33,중국
0.1418,2019,34,중국
0.1398,2019,35,중국
0.1394,2019,36,중국
0.1404,2019,37,중국
0.1415,2019,38,중국
0.1404,2019,39,중국
0.1399,2019,40,중국
0.1399,2019,41,중국
0.1414,2019,42,중국
0.1413,2019,43,중국
0.1415,2019,44,중국
0.1422,2019,45,중국
0.1426,2019,46,중국
0.1423,2019,47,중국
0.1421,2019,48,중국
0.142,2019,49,중국
0.1421,2019,50,중국
0.14300000000000002,2019,51,중국
0.1426,2019,52,중국
0.1431,2020,1,중국
0.1433,2020,2,중국
0.145,2020,3,중국
0.1456,2020,4,중국
0.1442,2020,5,중국
0.1424,2020,6,중국
0.1431,2020,7,중국
0.1432,2020,8,중국
0.1422,2020,9,중국
0.1436,2020,10,중국
0.1439,2020,11,중국
0.14300000000000002,2020,12,중국
0.1409,2020,13,중국
0.1408,2020,14,중국
0.141,2020,15,중국
0.1417,2020,16,중국
0.1413,2020,17,중국
0.141,2020,18,중국
0.1416,2020,19,중국
0.1408,2020,20,중국
0.1406,2020,21,중국
0.1401,2020,22,중국
0.1402,2020,23,중국
0.1414,2020,24,중국
0.141,2020,25,중국
0.1415,2020,26,중국
0.1412,2020,27,중국
0.1424,2020,28,중국
0.1429,2020,29,중국
0.1432,2020,30,중국
0.1429,2020,31,중국
0.1432,2020,32,중국
0.1436,2020,33,중국
0.1442,2020,34,중국
0.1445,2020,35,중국
0.146,2020,36,중국
0.1464,2020,37,중국
0.1468,2020,38,중국
0.1469,2020,39,중국
0.1468,2020,40,중국
0.1473,2020,41,중국
0.1482,2020,42,중국
0.1496,2020,43,중국
0.149,2020,44,중국
0.1494,2020,45,중국
0.1508,2020,46,중국
0.1518,2020,47,중국
0.1518,2020,48,중국
0.1519,2020,49,중국
0.1531,2020,50,중국
0.1526,2020,51,중국
0.1526,2020,52,중국
0.1529,2020,53,중국
0.1547,2021,1,중국
0.1543,2021,2,중국
0.154,2021,3,중국
0.1543,2021,4,중국
0.1546,2021,5,중국
0.155,2021,6,중국
0.1548,2021,7,중국
0.1546,2021,8,중국
0.1546,2021,9,중국
0.1532,2021,10,중국
0.1538,2021,11,중국
0.1536,2021,12,중국
0.1522,2021,13,중국
0.1523,2021,14,중국
0.1526,2021,15,중국
0.1536,2021,16,중국
0.1542,2021,17,중국
0.1545,2021,18,중국
0.1558,2021,19,중국
0.1553,2021,20,중국
0.1557,2021,21,중국
0.157,2021,22,중국
0.1563,2021,23,중국
0.1563,2021,24,중국
0.1546,2021,25,중국
0.1549,2021,26,중국
0.1149,2015,53,노르웨이
0.1126,2016,1,노르웨이
0.1119,2016,2,노르웨이
0.1124,2016,3,노르웨이
0.1142,2016,4,노르웨이
0.1151,2016,5,노르웨이
0.1164,2016,6,노르웨이
0.11599999999999999,2016,7,노르웨이
0.1163,2016,8,노르웨이
0.115,2016,9,노르웨이
0.1176,2016,10,노르웨이
0.1181,2016,11,노르웨이
0.1188,2016,12,노르웨이
0.1186,2016,13,노르웨이
0.12,2016,14,노르웨이
0.1219,2016,15,노르웨이
0.1217,2016,16,노르웨이
0.1218,2016,17,노르웨이
0.1248,2016,18,노르웨이
0.1216,2016,19,노르웨이
0.1224,2016,20,노르웨이
0.1198,2016,21,노르웨이
0.1198,2016,22,노르웨이
0.1224,2016,23,노르웨이
0.121,2016,24,노르웨이
0.1208,2016,25,노르웨이
0.1166,2016,26,노르웨이
0.1206,2016,27,노르웨이
0.1176,2016,28,노르웨이
0.1184,2016,29,노르웨이
0.1167,2016,30,노르웨이
0.1177,2016,31,노르웨이
0.1181,2016,32,노르웨이
0.1217,2016,33,노르웨이
0.1219,2016,34,노르웨이
0.1208,2016,35,노르웨이
0.1204,2016,36,노르웨이
0.1214,2016,37,노르웨이
0.1206,2016,38,노르웨이
0.1233,2016,39,노르웨이
0.1253,2016,40,노르웨이
0.1237,2016,41,노르웨이
0.1222,2016,42,노르웨이
0.1211,2016,43,노르웨이
0.1211,2016,44,노르웨이
0.1215,2016,45,노르웨이
0.11800000000000001,2016,46,노르웨이
0.1171,2016,47,노르웨이
0.1171,2016,48,노르웨이
0.1195,2016,49,노르웨이
0.1185,2016,50,노르웨이
0.1152,2016,51,노르웨이
0.115,2016,52,노르웨이
0.1155,2017,1,노르웨이
0.1171,2017,2,노르웨이
0.1172,2017,3,노르웨이
0.1198,2017,4,노르웨이
0.1203,2017,5,노르웨이
0.1212,2017,6,노르웨이
0.1192,2017,7,노르웨이
0.12,2017,8,노르웨이
0.1195,2017,9,노르웨이
0.1178,2017,10,노르웨이
0.1168,2017,11,노르웨이
0.11800000000000001,2017,12,노르웨이
0.1178,2017,13,노르웨이
0.1166,2017,14,노르웨이
0.1159,2017,15,노르웨이
0.1168,2017,16,노르웨이
0.11699999999999999,2017,17,노르웨이
0.1163,2017,18,노르웨이
0.1157,2017,19,노르웨이
0.1169,2017,20,노르웨이
0.12,2017,21,노르웨이
0.1189,2017,22,노르웨이
0.1183,2017,23,노르웨이
0.11800000000000001,2017,24,노르웨이
0.1176,2017,25,노르웨이
0.1179,2017,26,노르웨이
0.1195,2017,27,노르웨이
0.1201,2017,28,노르웨이
0.1226,2017,29,노르웨이
0.1249,2017,30,노르웨이
0.1272,2017,31,노르웨이
0.1262,2017,32,노르웨이
0.1258,2017,33,노르웨이
0.1267,2017,34,노르웨이
0.129,2017,35,노르웨이
0.128,2017,36,노르웨이
0.1275,2017,37,노르웨이
0.1277,2017,38,노르웨이
0.1279,2017,39,노르웨이
0.125,2017,40,노르웨이
0.1253,2017,41,노르웨이
0.1266,2017,42,노르웨이
0.125,2017,43,노르웨이
0.1227,2017,44,노르웨이
0.12300000000000001,2017,45,노르웨이
0.1225,2017,46,노르웨이
0.1206,2017,47,노르웨이
0.1227,2017,48,노르웨이
0.1202,2017,49,노르웨이
0.1193,2017,50,노르웨이
0.1196,2017,51,노르웨이
0.1203,2017,52,노르웨이
0.122,2018,1,노르웨이
0.1238,2018,2,노르웨이
0.1269,2018,3,노르웨이
0.1273,2018,4,노르웨이
0.1296,2018,5,노르웨이
0.1276,2018,6,노르웨이
0.1263,2018,7,노르웨이
0.1285,2018,8,노르웨이
0.1278,2018,9,노르웨이
0.1279,2018,10,노르웨이
0.1291,2018,11,노르웨이
0.1295,2018,12,노르웨이
0.1302,2018,13,노르웨이
0.1268,2018,14,노르웨이
0.1285,2018,15,노르웨이
0.1286,2018,16,노르웨이
0.1268,2018,17,노르웨이
0.1247,2018,18,노르웨이
0.1239,2018,19,노르웨이
0.1245,2018,20,노르웨이
0.1242,2018,21,노르웨이
0.1221,2018,22,노르웨이
0.1231,2018,23,노르웨이
0.1244,2018,24,노르웨이
0.1231,2018,25,노르웨이
0.1234,2018,26,노르웨이
0.1224,2018,27,노르웨이
0.1246,2018,28,노르웨이
0.1235,2018,29,노르웨이
0.122,2018,30,노르웨이
0.12300000000000001,2018,31,노르웨이
0.1212,2018,32,노르웨이
0.1196,2018,33,노르웨이
0.1184,2018,34,노르웨이
0.1202,2018,35,노르웨이
0.1197,2018,36,노르웨이
0.1192,2018,37,노르웨이
0.1224,2018,38,노르웨이
0.1229,2018,39,노르웨이
0.1227,2018,40,노르웨이
0.1208,2018,41,노르웨이
0.1226,2018,42,노르웨이
0.1211,2018,43,노르웨이
0.1192,2018,44,노르웨이
0.1196,2018,45,노르웨이
0.1173,2018,46,노르웨이
0.1179,2018,47,노르웨이
0.1165,2018,48,노르웨이
0.1172,2018,49,노르웨이
0.1168,2018,50,노르웨이
0.1157,2018,51,노르웨이
0.1143,2018,52,노르웨이
0.1158,2019,1,노르웨이
0.1172,2019,2,노르웨이
0.11699999999999999,2019,3,노르웨이
0.1168,2019,4,노르웨이
0.1175,2019,5,노르웨이
0.1182,2019,6,노르웨이
0.1147,2019,7,노르웨이
0.1162,2019,8,노르웨이
0.1163,2019,9,노르웨이
0.1156,2019,10,노르웨이
0.1154,2019,11,노르웨이
0.11699999999999999,2019,12,노르웨이
0.1171,2019,13,노르웨이
0.1165,2019,14,노르웨이
0.11699999999999999,2019,15,노르웨이
0.1177,2019,16,노르웨이
0.1176,2019,17,노르웨이
0.1155,2019,18,노르웨이
0.1147,2019,19,노르웨이
0.1141,2019,20,노르웨이
0.1137,2019,21,노르웨이
0.1148,2019,22,노르웨이
0.1148,2019,23,노르웨이
0.1155,2019,24,노르웨이
0.1145,2019,25,노르웨이
0.1179,2019,26,노르웨이
0.1165,2019,27,노르웨이
0.1157,2019,28,노르웨이
0.1171,2019,29,노르웨이
0.1162,2019,30,노르웨이
0.115,2019,31,노르웨이
0.11199999999999999,2019,32,노르웨이
0.1121,2019,33,노르웨이
0.1114,2019,34,노르웨이
0.1111,2019,35,노르웨이
0.1099,2019,36,노르웨이
0.11199999999999999,2019,37,노르웨이
0.1116,2019,38,노르웨이
0.1105,2019,39,노르웨이
0.1099,2019,40,노르웨이
0.1093,2019,41,노르웨이
0.1098,2019,42,노르웨이
0.1094,2019,43,노르웨이
0.1084,2019,44,노르웨이
0.1094,2019,45,노르웨이
0.1095,2019,46,노르웨이
0.1097,2019,47,노르웨이
0.1089,2019,48,노르웨이
0.1091,2019,49,노르웨이
0.1093,2019,50,노르웨이
0.111,2019,51,노르웨이
0.1116,2019,52,노르웨이
0.1134,2020,1,노르웨이
0.1137,2020,2,노르웨이
0.1124,2020,3,노르웨이
0.11199999999999999,2020,4,노르웨이
0.1094,2020,5,노르웨이
0.1077,2020,6,노르웨이
0.1076,2020,7,노르웨이
0.10800000000000001,2020,8,노르웨이
0.1068,2020,9,노르웨이
0.1076,2020,10,노르웨이
0.1044,2020,11,노르웨이
0.0973,2020,12,노르웨이
0.0862,2020,13,노르웨이
0.0948,2020,14,노르웨이
0.0958,2020,15,노르웨이
0.0966,2020,16,노르웨이
0.0955,2020,17,노르웨이
0.0951,2020,18,노르웨이
0.0967,2020,19,노르웨이
0.0968,2020,20,노르웨이
0.0997,2020,21,노르웨이
0.0994,2020,22,노르웨이
0.1039,2020,23,노르웨이
0.10800000000000001,2020,24,노르웨이
0.1048,2020,25,노르웨이
0.1041,2020,26,노르웨이
0.1033,2020,27,노르웨이
0.1064,2020,28,노르웨이
0.1059,2020,29,노르웨이
0.1084,2020,30,노르웨이
0.1099,2020,31,노르웨이
0.1095,2020,32,노르웨이
0.1106,2020,33,노르웨이
0.1129,2020,34,노르웨이
0.1111,2020,35,노르웨이
0.1146,2020,36,노르웨이
0.1119,2020,37,노르웨이
0.1107,2020,38,노르웨이
0.1077,2020,39,노르웨이
0.1054,2020,40,노르웨이
0.1085,2020,41,노르웨이
0.1094,2020,42,노르웨이
0.1072,2020,43,노르웨이
0.1082,2020,44,노르웨이
0.1046,2020,45,노르웨이
0.1105,2020,46,노르웨이
0.1104,2020,47,노르웨이
0.1106,2020,48,노르웨이
0.1124,2020,49,노르웨이
0.1143,2020,50,노르웨이
0.1142,2020,51,노르웨이
0.1156,2020,52,노르웨이
0.1158,2020,53,노르웨이
0.1157,2021,1,노르웨이
0.11699999999999999,2021,2,노르웨이
0.1164,2021,3,노르웨이
0.1171,2021,4,노르웨이
0.1162,2021,5,노르웨이
0.1175,2021,6,노르웨이
0.1192,2021,7,노르웨이
0.1178,2021,8,노르웨이
0.1168,2021,9,노르웨이
0.1171,2021,10,노르웨이
0.1183,2021,11,노르웨이
0.1175,2021,12,노르웨이
0.11699999999999999,2021,13,노르웨이
0.1176,2021,14,노르웨이
0.1178,2021,15,노르웨이
0.1206,2021,16,노르웨이
0.1205,2021,17,노르웨이
0.1207,2021,18,노르웨이
0.1209,2021,19,노르웨이
0.1209,2021,20,노르웨이
0.12,2021,21,노르웨이
0.1201,2021,22,노르웨이
0.121,2021,23,노르웨이
0.1203,2021,24,노르웨이
0.1166,2021,25,노르웨이
0.1172,2021,26,노르웨이
0.2943,2015,53,페루
0.293,2016,1,페루
0.2916,2016,2,페루
0.2913,2016,3,페루
0.2887,2016,4,페루
0.2871,2016,5,페루
0.2861,2016,6,페루
0.2858,2016,7,페루
0.2843,2016,8,페루
0.2838,2016,9,페루
0.2899,2016,10,페루
0.2999,2016,11,페루
0.2934,2016,12,페루
0.2962,2016,13,페루
0.2984,2016,14,페루
0.3046,2016,15,페루
0.3057,2016,16,페루
0.3045,2016,17,페루
0.3028,2016,18,페루
0.3001,2016,19,페루
0.3004,2016,20,페루
0.2991,2016,21,페루
0.2971,2016,22,페루
0.3022,2016,23,페루
0.3008,2016,24,페루
0.3043,2016,25,페루
0.301,2016,26,페루
0.3044,2016,27,페루
0.305,2016,28,페루
0.3047,2016,29,페루
0.2966,2016,30,페루
0.2983,2016,31,페루
0.3019,2016,32,페루
0.3024,2016,33,페루
0.2986,2016,34,페루
0.29600000000000004,2016,35,페루
0.2944,2016,36,페루
0.2938,2016,37,페루
0.2953,2016,38,페루
0.2969,2016,39,페루
0.2954,2016,40,페루
0.2946,2016,41,페루
0.2943,2016,42,페루
0.2974,2016,43,페루
0.2975,2016,44,페루
0.2962,2016,45,페루
0.2911,2016,46,페루
0.2925,2016,47,페루
0.2925,2016,48,페루
0.2926,2016,49,페루
0.2941,2016,50,페루
0.2926,2016,51,페루
0.2952,2016,52,페루
0.2968,2017,1,페루
0.2955,2017,2,페루
0.2968,2017,3,페루
0.3037,2017,4,페루
0.3039,2017,5,페루
0.3041,2017,6,페루
0.3068,2017,7,페루
0.308,2017,8,페루
0.3076,2017,9,페루
0.3035,2017,10,페루
0.3046,2017,11,페루
0.3079,2017,12,페루
0.3081,2017,13,페루
0.308,2017,14,페루
0.308,2017,15,페루
0.3071,2017,16,페루
0.3082,2017,17,페루
0.3083,2017,18,페루
0.3043,2017,19,페루
0.306,2017,20,페루
0.3051,2017,21,페루
0.3045,2017,22,페루
0.3061,2017,23,페루
0.3049,2017,24,페루
0.3054,2017,25,페루
0.3073,2017,26,페루
0.307,2017,27,페루
0.3073,2017,28,페루
0.308,2017,29,페루
0.3082,2017,30,페루
0.3085,2017,31,페루
0.3085,2017,32,페루
0.3084,2017,33,페루
0.3088,2017,34,페루
0.3088,2017,35,페루
0.3089,2017,36,페루
0.3095,2017,37,페루
0.3081,2017,38,페루
